Replaced symbols
================
x0    3drop
x3r   hero_hp_max
x3s   hero_lava_dmg
x3t   hero_activity_ticks
x3u   hero_activity_ticks_max
x3v   hero_equipped
x3w   hero_inventory
x3x   skill_list
x3y   monsters
x3z   monster_stat_base
x40   monster.x
x41   monster.y
x42   monster.alive
x43   crystals
x44   crystal_stat_base
x45   crystal.x
x46   crystal.y
x47   crystal.active
x48   crystal.color
x49   map_data
x4a   crystal_map
x4b   monster_map
x4c   map_data_temp
x4d   crystal_map_temp
x4e   monster_map_temp
x4f   str_buffer
x4g   drawrect
x4h   clrscr
x4i   tileid>
x4j   tilehw
x4k   copybyte
x4l   copytile
x4m   colortile
x4n   drawtile_pre
x4o   drawtile
x4p   drawcolor
x4q   drawtile1bpppart
x4r   1bpppart2
x4s   drawtile1bppbase
x4t   drawtile1bpp
x4u   screencolor
x4v   rotatetile90
x4w   loadtiles
x4x   rand
x4y   rand8
x4z   rand5050
x50   maphorizstripe
x51   makemap
x52   checkformonster
x53   checkforcrystal
x54   loadcommon
x55   loadmonsters
x56   loadcrystals
x57   crystal_colors
x58   updatetarget
x59   num>text
x5a   drawchar
x5b   drawtext
$     $
x5d   drawbar
x5e   targetwithin
x5f   drawframeload
x5g   drawframe
x5h   drawlegendload
x5i   mapcolors
x5j   drawlegend
x5k   stat_basic_head
x5l   stat_head_mkii
x5m   stat_head_mkiii
x5n   stat_head_mkiv
x5o   stat_lightning
x5p   stat_basic_body
x5q   stat_tin_body
x5r   stat_iron_body
x5s   stat_steel_body
x5t   stat_fortress
x5u   stat_basic_legs
x5v   stat_fast_legs
x5w   stat_quick_legs
x5x   stat_agile_legs
x5y   stat_mustang
x5z   stat_basic_gun
x60   stat_blaster
x61   stat_laser
x62   stat_phaser
x63   stat_death_ray
x64   stat_basic_tool
x65   stat_rock_pick
x66   stat_rock_drill
x67   stat_rock_borer
x68   stat_laser_bit
x69   stat_res_hp_heal
x6a   stat_res_batt_heal
x6b   stat_res_hp_upgrade
x6c   stat_res_batt_upgrade
x6d   stat_res_exp_upgrade
x6e   stat_res_dmg_upgrade
x6f   item_stats
x6g   id>stat
x6h   itemcost
x6i   loaditem
x6j   loaditemstats
x6k   hero_stat_pointers
x6l   stat_pointers
x6m   hero_stat_texts
x6n   hero_stat_colors
x6o   res_descriptions
x6p   item_titles
x6q   item_title_lens
x6r   title_colors
x6s   item_stat_descriptions
x6t   item_stat_description_lens
x6u   item_stat_description_colors
x6v   drawitem
x6w   drawitemstats
x6x   drawmenuinventorychar
x6y   drawcharmenu
x6z   drawborder
x70   drawmenuborderchar
x71   skill_color1
x72   skill_color2
x73   skill_tops
x74   skill_colors
x75   skill_titles
x76   skill_texts
x77   1bppskillspart1
x78   1bppskillspart2
x79   drawtile1bppskills
x7a   drawskillscolors1
x7b   drawskillscolors2
x7c   drawskills
x7d   drawskillsmenu
x7e   1bpprespart1
x7f   1bpprespart2
x7g   drawitemres
x7h   res_colors
x7i   res_items
x7j   drawresources
x7k   drawresmenu
x7l   drawmenu
x7m   drawmenuborder
x7n   drawmenuinventory
x7o   drawmenuskills
x7p   drawmenuresources
x7q   initgame
x7r   resetgame
x7s   calcstats
x7t   inithero
x7u   addexp
x7v   coloritems
x7w   colorhero
x7x   checkmap
x7y   checkhp
x7z   checklavaexit
x80   keyhandlergame
m     m
k     k
r     r
q     q
w     w
s     s
x87   bestcheck
x88   additem
x89   crystalsmithbuy
x8a   normalbuy
x8b   keyhandlermenu
x8c   tickhandler
x8d   herodead
x8e   capture_code
x8f   capture


Replaced constants and enums
============================
cp                            0
bank_mode                     86
cp_main                       88
cp_banked                     8A
cp_dict_game                  8C
cp_dict_char_menu             8E
cp_dict_skills_menu           90
cp_dict_res_menu              92
cp_dict_common_menu           94
dict_which                    96
no_print                      98
code_end                      9A
chartable                     9C
debug_xt                      9E
bank2_register                FFE1
bank3_register                FFE2
bank4_register                FFE3
bank_gen_ram2                 1
bank_gen_ram3                 2
bank_gen_ram4                 3
bank_gfx_ram1                 4
bank_gfx_ram2                 5
bank_ext_ram1                 6
bank_ext_ram2                 7
bank_ext_ram3                 8
bank_ext_ram4                 9
SCREEN_WIDTH                  100
SCREEN_HEIGHT                 80
SCREEN_ADDRESS                4000
TIMER_S                       FFE6
LOG_ON                        FFEC
LOG_OFF                       FFED
LOG_SEND                      FFEE
DICT_MAIN                     0
DICT_BANK2                    1
DICT_GAME                     2
DICT_CHAR_MENU                3
DICT_SKILLS_MENU              4
DICT_RES_MENU                 5
DICT_COMMON_MENU              6
MAP_WIDTH                     28
MAP_HEIGHT                    14
LEGEND_WIDTH                  60
LEGEND_HEIGHT                 80
LEGEND_LEFT                   A0
LEGEND_TOP                    0
FRAME_WIDTH                   5
FRAME_HEIGHT                  4
DIRECTION_NONE                0
DIRECTION_UP                  1
DIRECTION_DOWN                2
DIRECTION_LEFT                3
DIRECTION_RIGHT               4
OUTPUT_GAME                   0
OUTPUT_CHARACTER              1
OUTPUT_SKILLS                 2
OUTPUT_RESOURCES              3
OUTPUT_GAME_OVER              4
MAP_LAVA_COUNT                14
MAP_WALL_COUNT                3C
MAP_LAVA_SIZE                 5
MAP_WALL_SIZE                 5
MAP_BLANK                     0
MAP_BLANK_90                  1
MAP_BLANK_180                 2
MAP_BLANK_270                 3
MAP_ROCK                      4
MAP_LAVA                      5
MAP_EXIT                      6
HERO_START_X                  1
HERO_START_Y                  1
BOT_HP                        1E
SKILL_BATTERY_SAVER           0
SKILL_BOUNTY_HUNTER           1
SKILL_FAST_DIGGER             2
SKILL_LUCKY_DRILLER           3
SKILL_MASTER_MINER            4
SKILL_LUCKY_CRIT              5
SKILL_CRIT_LORD               6
SKILL_EXPERIENCED             7
SKILL_INSTAKILL               8
SKILL_GHOST                   9
SKILL_FREE_LUNCH              a
SKILL_WISE_REWARDS            b
SKILL_BIG_DISCOUNT            c
SKILL_ONLY_THE_BEST           d
SKILL_CRYSTALSMITH            e
SKILL_COUNT                   f
COLOR_BLACK                   0
COLOR_WHITE                   3F
COLOR_GREEN                   C
COLOR_RED                     3
COLOR_DARK_RED                2
COLOR_BLUE                    30
COLOR_DARK_BLUE               20
COLOR_DARK_GREEN              8
COLOR_PURPLE                  32
COLOR_DARK_PURPLE             21
COLOR_ORANGE                  B
COLOR_DARK_ORANGE             6
COLOR_YELLOW                  F
COLOR_DARK_YELLOW             A
COLOR_GRAY_1                  15
COLOR_GRAY_2                  2A
COLOR_TRANSPARENT             40
COLOR_LEGEND_BG               15
COLOR_ROCK                    21
COLOR_DIRT                    3B
COLOR_LAVA                    B
COLOR_CRYSTAL_RED1            17
COLOR_CRYSTAL_RED2            2B
COLOR_CRYSTAL_YELLOW1         1F
COLOR_CRYSTAL_YELLOW2         2F
COLOR_CRYSTAL_BLUE1           35
COLOR_CRYSTAL_BLUE2           3A
COLOR_EXIT                    35
COLOR_MONSTER                 1
COLOR_HP                      3
COLOR_BATT                    30
COLOR_DMG                     1
COLOR_CRIT                    1
COLOR_MINE                    17
COLOR_DRILL                   32
COLOR_LAVA_RES                B
COLOR_MENU_CHAR               8
COLOR_MENU_SKILLS             20
COLOR_MENU_RESOURCES          2
COLOR_MENU_BORDER             2A
INVENTORY_COUNT               1E
TEXT_LINE_HEIGHT              8
TEXT_CHAR_WIDTH               6
TEXT_SPACING_Y                A
MONSTER_COUNT                 28
MONSTER_HP                    A
CRYSTAL_COUNT                 28
BAR_WIDTH                     50
BAR_HEIGHT                    6
LEGEND_MAZE_TOP               54
LEGEND_MAZE_LEFT              8
LEGEND_MAZE_MONSTER_COLOR     3
LEGEND_MAZE_CRYSTAL_COLOR     F
LEGEND_BOX_WIDTH              A
LEGEND_BOX_HEIGHT             8
LEGEND_STATS_LEFT             8
LEGEND_HP_TOP                 4
LEGEND_HP_BAR_TOP             D
LEGEND_BATT_TOP               18
LEGEND_BATT_BAR_TOP           21
LEGEND_EXP_TOP                2C
LEGEND_EXP_BAR_TOP            35
LEGEND_TARGET_TOP             40
LEGEND_TARGET_BAR_TOP         49
DRAWITEM_RES_LEFT             2
DRAWITEM_RES_TOP              2
DRAWITEM_ITEM_LEFT            12
DRAWITEM_ITEM_TOP             4
DRAWITEM_STAT_TOP             F
DRAWITEM_STAT_HEIGHT          A
MENU_CHAR_LEFT                9
MENU_TITLE_TOP                9
MENU_SKILL_LEFT               4C
MENU_RES_LEFT                 7C
MENU_BG_LEFT                  9
MENU_BG_TOP                   11
MENU_BG_WIDTH                 EE
MENU_BG_HEIGHT                66
MENU_CHAR_ROBOT_LEFT          1B
MENU_CHAR_ROBOT_TOP           15
MENU_CHAR_STAT_LEFT           D
MENU_CHAR_HP_TOP              38
MENU_CHAR_BATT_TOP            41
MENU_CHAR_DMG_TOP             4A
MENU_CHAR_CRIT_TOP            53
MENU_CHAR_MINE_TOP            5C
MENU_CHAR_DRILL_TOP           65
MENU_CHAR_LAVA_TOP            6E
MENU_CHAR_BOX_COLOR           4
MENU_CHAR_BOX_LEFT            50
MENU_CHAR_BOX1_TOP            16
MENU_CHAR_BOX2_TOP            46
MENU_CHAR_BOX_WIDTH           50
MENU_CHAR_BOX_HEIGHT          2D
MENU_CHAR_BOX_TITLE_OFFSET_X  12
MENU_CHAR_BOX_TITLE_OFFSET_Y  4
MENU_CHAR_BOX_STAT_OFFSET_X   12
MENU_CHAR_BOX_STAT_OFFSET_Y   F
MENU_CHAR_GRID_LEFT           A4
MENU_CHAR_GRID_TOP            14
MENU_CHAR_GRID_LINE_TOP       74
MENU_CHAR_GRID_LINE_WIDTH     50
MENU_CHAR_GRID_LINE_LEFT      F4
MENU_CHAR_GRID_LINE_HEIGHT    61
MENU_CHAR_BOX_X_COUNT         5
MENU_CHAR_BOX_Y_COUNT         6
MENU_SKILL_POINTS_LEFT        B
MENU_SKILL_POINTS_TOP         14
MENU_SKILL_BOX1_COLOR         2E
MENU_SKILL_BOX2_COLOR         3A
MENU_SKILL_BOX3_COLOR         2B
MENU_SKILL_BOX_LEFT           9
MENU_SKILL_BOX1_TOP           1D
MENU_SKILL_BOX2_TOP           3B
MENU_SKILL_BOX3_TOP           59
MENU_SKILL_BOX_WIDTH          8C
MENU_SKILL_BOX_HEIGHT         1E
MENU_SKILL_X_SPACING          1C
MENU_SKILL_Y_SPACING          1E
MENU_SKILL_SKILL_LEFT         B
MENU_SKILL_SKILL_TOP          20
MENU_SKILL_DBOX_COLOR         10
MENU_SKILL_DBOX_LEFT          98
MENU_SKILL_DBOX_TOP           1D
MENU_SKILL_DBOX_WIDTH         5C
MENU_SKILL_DBOX_HEIGHT        57
MENU_SKILL_DBOX_TEXT_LEFT     9A
MENU_SKILL_DBOX_TEXT_TOP      2B
MENU_SKILL_DBOX_TITLE_TOP     1F
MENU_SKILL_TITLE1_COLOR       8
MENU_SKILL_TITLE2_COLOR       35
MENU_SKILL_TITLE3_COLOR       17
MENU_SKILL_UPGRADE_LEFT       9A
MENU_SKILL_UPGRADE_TOP        6A
MENU_RES_BLOCK_HEIGHT         13
MENU_RES_BLOCK_WIDTH          17
MENU_RES_BLOCK_LEFT           B
MENU_RES_BLOCK_TOP            13
MENU_RES_BLOCK_TOTAL_HEIGHT   61
MENU_RES_ITEM_LEFT            E
MENU_RES_ITEM_TOP             15
MENU_RES_BOX_WIDTH            5C
MENU_RES_BOX_HEIGHT           57
MENU_RES_BOX_COLOR            1
MENU_RES_BOX_LEFT             98
MENU_RES_BOX_TOP              1D
MENU_RES_MONEY_LEFT           98
MENU_RES_MONEY_TOP            13
MENU_RES_MONEY_WIDTH          5C
MENU_RES_MONEY_HEIGHT         A
MENU_RES_MONEY_VAL_TOP        15
MENU_RES_MONEY_RED_LEFT       AB
MENU_RES_MONEY_BLUE_LEFT      C3
MENU_RES_MONEY_YELLOW_LEFT    DB
MENU_RES_COST_LEFT            9A
MENU_RES_COST_TOP             6B
MENU_RES_HP_COLOR1            1
MENU_RES_HP_COLOR2            17
MENU_RES_BATT_COLOR1          10
MENU_RES_BATT_COLOR2          35
MENU_RES_EXP_COLOR1           5
MENU_RES_EXP_COLOR2           1F
MENU_BORDER_SIZE              8
HERO_HP_BASE                  2
HERO_BATT_BASE                3
HERO_MINE_BASE                8
HERO_DRILL_BASE               C
HERO_LAVA_RES_BASE            0
HERO_BATT_RATE_BASE           1
HERO_CRIT_BASE                5
HERO_HP_RECHARGE_BASE         0
HERO_LAVA_DMG_BASE            4
HERO_ATTACK_COST_BASE         4
HERO_MINE_COST_BASE           2
HERO_DRILL_COST_BASE          2
HERO_EXP_MAX_BASE             28
HERO_STAT_COUNT               7
DEAD_LEFT                     64
DEAD_TOP                      38
DEAD_WIDTH                    37
DEAD_HEIGHT                   F
DEAD_MSG_LEFT                 68
DEAD_MSG_TOP                  3C
NO_MONSTER                    FF
DEAD_MONSTER                  FE
NO_CRYSTAL                    FF
CRYSTAL_RED_TYPE              0
CRYSTAL_BLUE_TYPE             1
CRYSTAL_YELLOW_TYPE           2
KEY_ENTER                     D
KEY_SPACE                     20
TRUE                          FFFF
FALSE                         0
TARGET_NONE                   0
TARGET_ROCK                   1
TARGET_EXIT                   2
TARGET_MONSTER                3
TARGET_CRYSTAL                4
TARGET_RETURN                 5
head                          0
body                          1
legs                          2
gun                           3
tool                          4
ground                        5
crystal                       6
res_only                      7
Basic_Head                    0
Head_MKII                     1
Head_MKIII                    2
Head_MKIV                     3
Lightning                     4
Basic_Body                    5
Tin_Body                      6
Iron_Body                     7
Steel_Body                    8
Fortress                      9
Basic_Legs                    a
Fast_Legs                     b
Quick_Legs                    c
Agile_Legs                    d
Mustang                       e
Basic_Gun                     f
Blaster                       10
Laser                         11
Phaser                        12
Death_Ray                     13
Basic_Tool                    14
Rock_Pick                     15
Rock_Drill                    16
Rock_Borer                    17
Laser_Bit                     18
Res_HP_Heal_ID                19
Res_HP_Upgrade_ID             1a
Res_Batt_Heal_ID              1b
Res_Batt_Upgrade_ID           1c
Res_Exp_Upgrade_ID            1d
Res_Dmg_Upgrade_ID            1e
item_IDs_size                 1f
item_none                     20
Ground_0                      0
Ground_90                     1
Ground_180                    2
Ground_270                    3
Rock                          4
Lava                          5
Crystal_red                   6
Crystal_yellow                7
Crystal_blue                  8
Robot_left                    9
Robot_right                   a
Menu_item_temp                b
Skill_temp                    c
Menu_head                     d
Menu_body                     e
Menu_legs                     f
Menu_gun                      10
Menu_tool                     11
Robot_left_raw                12
Robot_right_raw               13
Crystal_raw                   14
Ground_raw                    15
Monster                       16
Monster_dead                  17
Menu_item_slot                18
Crystal_base                  19
Hero_target                   1a
Menu_item_selector            1b
Menu_item_selector_res        1c
Menu_skill_selector           1d
ExitID                        1e
Res_HP_Heal                   1f
Res_HP_Upgrade                20
Res_Batt_Heal                 21
Res_Batt_Upgrade              22
Res_Exp_Upgrade               23
Res_Dmg_Upgrade               24
Skill0                        25
Skill1                        26
Skill2                        27
Skill3                        28
Skill4                        29
Skill5                        2a
Skill6                        2b
Skill7                        2c
Skill8                        2d
Skill9                        2e
Skill10                       2f
Skill11                       30
Skill12                       31
Skill13                       32
Skill14                       33
tile_IDs_size                 34
display_X                     [ v1 0 + ] literal 
display_Y                     [ v1 1 + ] literal 
hero_X                        [ v1 2 + ] literal 
hero_Y                        [ v1 3 + ] literal 
hero_HP_Max_temp              [ v1 4 + ] literal 
hero_HP_Upgrade               [ v1 5 + ] literal 
hero_Batt                     [ v1 6 + ] literal 
hero_Batt_Max                 [ v1 7 + ] literal 
hero_Batt_Upgrade             [ v1 8 + ] literal 
hero_Dmg                      [ v1 9 + ] literal 
hero_Dmg_Upgrade              [ v1 a + ] literal 
hero_Mine_Speed               [ v1 b + ] literal 
hero_Drill_Speed              [ v1 c + ] literal 
hero_Lava_Res                 [ v1 d + ] literal 
hero_Batt_Recharge            [ v1 e + ] literal 
hero_Crit_Rate                [ v1 f + ] literal 
hero_HP_Recharge              [ v1 10 + ] literal 
hero_Dmg_Cost                 [ v1 11 + ] literal 
hero_Mine_Cost                [ v1 12 + ] literal 
hero_Drill_Cost               [ v1 13 + ] literal 
hero_Exp                      [ v1 14 + ] literal 
hero_Exp_Max                  [ v1 15 + ] literal 
hero_Level                    [ v1 16 + ] literal 
hero_Red                      [ v1 17 + ] literal 
hero_Blue                     [ v1 18 + ] literal 
hero_Yellow                   [ v1 19 + ] literal 
hero_Points                   [ v1 1a + ] literal 
hero_facing                   [ v1 1b + ] literal 
hero_target_direction         [ v1 1c + ] literal 
hero_target_type              [ v1 1d + ] literal 
hero_target_index             [ v1 1e + ] literal 
hero_target_index2            [ v1 1f + ] literal 
hero_activity                 [ v1 20 + ] literal 
draw_X                        [ v1 21 + ] literal 
draw_X_copy                   [ v1 22 + ] literal 
menu_char_x                   [ v1 23 + ] literal 
menu_char_y                   [ v1 24 + ] literal 
menu_skills_x                 [ v1 25 + ] literal 
menu_skills_y                 [ v1 26 + ] literal 
menu_res_x                    [ v1 27 + ] literal 
menu_res_y                    [ v1 28 + ] literal 
menu_res_target               [ v1 29 + ] literal 
timer_last                    [ v1 2a + ] literal 
output_mode                   [ v1 2b + ] literal 
color1                        [ v1 2c + ] literal 
color2                        [ v1 2d + ] literal 
width                         [ v1 2e + ] literal 
height                        [ v1 2f + ] literal 
edge                          [ v1 30 + ] literal 
bit_counter                   [ v1 31 + ] literal 
fg_color                      [ v1 32 + ] literal 
bg_color                      [ v1 33 + ] literal 
stat1                         [ v1 34 + ] literal 
stat1b                        [ v1 35 + ] literal 
stat2                         [ v1 36 + ] literal 
stat2b                        [ v1 37 + ] literal 
text_buff                     [ v1 38 + ] literal 
text_buff_1                   [ v1 39 + ] literal 
text_buff_2                   [ v1 3a + ] literal 
text_buff_len                 [ v1 3b + ] literal 
num_yet                       [ v1 3c + ] literal 
item_type                     [ v1 3d + ] literal 
item_cost                     [ v1 3e + ] literal 
item_cost_type                [ v1 3f + ] literal 
item_quality                  [ v1 40 + ] literal 
item_stat_count               [ v1 41 + ] literal 
item_stat1                    [ v1 42 + ] literal 
item_stat1_x                  [ v1 43 + ] literal 
item_stat2                    [ v1 44 + ] literal 
item_stat2_x                  [ v1 45 + ] literal 
item_stat3                    [ v1 46 + ] literal 
item_stat3_x                  [ v1 47 + ] literal 
Mine1s                        [ v1 48 + ] literal 
Drill1s                       [ v1 49 + ] literal 
t0_1bpp                       [ v1 4a + ] literal 
t1_1bpp                       [ v1 4b + ] literal 
t2_1bpp                       [ v1 4c + ] literal 
t3_1bpp                       [ v1 4d + ] literal 
trans_1bpp                    [ v1 4e + ] literal 
p1_1bpp                       [ v1 4f + ] literal 
p1_1bppb                      [ v1 50 + ] literal 
p2_1bpp                       [ v1 51 + ] literal 
p2_1bppb                      [ v1 52 + ] literal 
skill_index                   [ v1 53 + ] literal 
draw_item                     [ v1 54 + ] literal 
original_hp                   [ v1 55 + ] literal 
original_batt                 [ v1 56 + ] literal 
moved                         [ v1 57 + ] literal 
res_total                     [ v1 58 + ] literal 
bought                        [ v1 59 + ] literal 
MONSTER_STAT_COUNT            3
CRYSTAL_STAT_COUNT            4
stat_Basic                    0
stat_Green                    1
stat_Blue                     2
stat_Purple                   3
stat_Yellow                   4
stat_Red                      5
stat_None                     6
stat_Batt                     0
stat_HP                       1
stat_Dmg                      2
stat_Mine                     3
stat_Mine1s                   4
stat_Crit                     5
stat_Lava                     6
stat_Drill                    7
stat_Drill1s                  8
stat_Batt_Recharge            9
stat_HP_Recharge              a
stat_Lava_Heals               b
stat_Dmg_Cost_50              c
stat_Mine_Cost_50             d
stat_Res_Only                 e
stat_none                     f
stat_special                  0
STAT_TEXT_LENGTH              9
DO_NONE                       0
DO_DRAW_FRAME                 1
DO_DRAW_LEGEND                2
DO_DRAW_FRAME_LEGEND          3
DO_DRAW_MENU                  4
DO_DRAW_MENU_BORDER           8
DO_DRAW_INVENTORY             10
DO_DRAW_SKILLS                20
DO_DRAW_RESOURCES             40
DO_HERO_DEAD                  80
QUIT_TO_FORTH                 100


Unused Forth words
=================
cold
abort
quit
abort"
abs
accept
action-of
align
aligned
allow-native
also
always-native
at-xy
base
bell
bl
bounds
[']
bye
cell+
char
char+
chars
cleave
cmove
cmove>
:NONAME
compare
compile,
count
d-
d+
d>s
dabs
defer
defer@
defer!
definitions
depth
digit?
dnegate
?do
does>
.
.(
.r
d.
d.r
dump
emit
blank
erase
execute-parsing
false
find
find-name
fm/mod
evaluate
get-current
get-order
hexstore
hold
immediate
input
input>r
int>name
is
key
latestnt
latestxt
<#
m*
marker
max
min
-leading
-trailing
name>int
name>string
negate
never-native
number
#
#>
#s
only
output
pad
page
parse-name
parse
+!
postpone
?
?dup
r>input
recurse
refill
see
s>d
search
sign
/mod
/string
sliteral
sm/rem
source
source-id
space
spaces
*/
state
list
to
>body
>in
>number
true
2@
2over
2r@
2r>
2/
2!
2>r
2constant
2literal
2variable
type
u.r
u>
u<
ud.
ud.r
um*
unloop
unused
useraddr
value
word
words
wordsize
0<
